Provincia;Hab_km2;RecaCM;TotalContribCM;CoParticipacion;Cereales;Oleaginosas;Construccion;Venta_Mayor;Venta_menor_prendas;Transporte merc_ granel;Transporte_carga
Catamarca;3.60;166109956;15051;4724629477;382;318;615;1860;234;611;1293
Corrientes;11.30;418255394;27916;6368684542;869;428;1257;2543;431;1041;2928
Chaco;10.60;599155967;29179;8510221225;1431;837;1200;2570;411;2329;3659
Chubut;2.30;1288631160;20919;2745560456;177;99;758;2161;289;346;1456
Entre_Rios;15.70;1529080467;33988;8379843207;1701;917;1089;3206;349;1487;3022
Formosa;7.40;241554272;14712;6228364135;433;273;608;1721;193;541;1377
Jujuy;12.70;356164402;17740;4883702433;360;275;561;1963;224;761;1922
La_Pampa;2.20;432712558;24732;3237947371;2472;1031;651;2117;272;1843;1849
La_Rioja;3.70;137619740;13636;3562498383;227;195;498;1756;218;299;956
Mendoza;11.70;1954410300;34944;7168754420;573;398;1064;3321;450;1228;3246
Misiones;37.00;716594368;22155;5669424863;331;180;727;2411;270;631;2287
Neuquen;5.90;2219532224;34258;2994401267;211;120;1861;2548;451;606;2233
Rio_Negro;3.10;858353320;36756;4328968263;350;147;1776;2534;522;699;2549
Salta;7.80;618281862;29123;6578115149;1158;888;904;2692;355;2251;3708
San_Juan;7.60;451897666;18987;5796245268;202;190;650;2161;243;574;1623
San_Luis;5.60;413970022;27153;3920854497;1506;752;944;2563;271;1674;2477
Santa_Cruz;1.10;933926888;15985;2729860456;134;64;696;1665;229;257;1158
Santiago_del_Estero;6.40;360340285;24824;7073244217;2330;1634;760;2263;273;2238;2956
Tierra_del_Fuego;0.10;472797352;11411;2145896677;82;43;401;1426;185;151;583
Tucuman;64.30;851468737;26829;8160360008;1163;889;933;3005;369;2062;3465
